person_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,personality_summary
P06218,0.19,0.90,0.27,0.48,0.44,0.14,0.76,0.52,0.49,0.23,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06219,0.64,0.53,0.40,0.60,0.60,0.35,0.79,0.37,0.21,0.67,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06220,0.84,0.46,0.55,0.83,0.62,0.18,0.42,0.88,0.66,0.69,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式温和体贴，生活取向相对均衡。
P06221,0.66,0.46,0.64,0.65,0.54,0.65,0.91,0.54,0.79,0.73,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系，处理分歧时较有耐心。
P06222,0.48,0.38,0.43,0.55,0.48,0.53,0.14,0.46,0.52,0.67,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06223,0.21,0.24,0.65,0.26,0.15,0.44,0.44,0.42,0.54,0.78,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，处理分歧时较有耐心。
P06224,0.49,0.35,0.57,0.37,0.74,0.73,0.43,0.62,0.39,0.80,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，喜欢晚间外出，处理分歧时较有耐心。
P06225,0.53,0.34,0.59,0.80,0.63,0.91,0.70,0.58,0.80,0.60,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，重视家庭联系。
P06226,0.83,0.19,0.58,0.49,0.58,0.68,0.48,0.47,0.54,0.24,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P06227,0.58,0.70,0.41,0.66,0.32,0.51,0.51,0.85,0.35,0.67,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P06228,0.26,0.72,0.38,0.25,0.19,0.53,0.32,0.82,0.61,0.78,温和体贴,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式温和体贴，处理分歧时较有耐心。
P06229,0.56,0.61,0.33,0.39,0.47,0.60,0.28,0.81,0.56,0.43,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P06230,0.94,0.55,0.40,0.62,0.81,0.34,0.72,0.92,0.43,0.71,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，喜欢晚间外出，处理分歧时较有耐心。
P06231,0.64,0.32,0.74,0.65,0.71,0.35,0.84,0.18,0.52,0.29,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系，喜欢晚间外出。
P06232,0.79,0.77,0.32,0.61,0.57,0.31,0.38,0.22,0.25,0.19,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P06233,0.20,0.23,0.76,0.57,0.46,0.38,0.62,0.48,0.18,0.52,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06234,0.26,0.84,0.43,0.45,0.56,0.44,0.47,0.47,0.44,0.14,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06235,0.71,0.69,0.43,0.39,0.38,0.81,0.49,0.18,0.71,0.56,直接简洁,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P06236,0.38,0.34,0.53,0.36,0.41,0.51,0.27,0.55,0.63,0.62,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06237,0.38,0.25,0.68,0.41,0.46,0.44,0.30,0.80,0.65,0.68,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P06238,0.66,0.79,0.20,0.57,0.68,0.22,0.63,0.51,0.57,0.53,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P06239,0.71,0.43,0.50,0.60,0.47,0.49,0.98,0.18,0.22,0.59,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P06240,0.60,0.48,0.58,0.59,0.65,0.46,0.43,0.74,0.60,0.84,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，处理分歧时较有耐心。
P06241,0.31,0.34,0.63,0.60,0.47,0.32,0.52,0.32,0.59,0.34,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06242,0.33,0.58,0.54,0.47,0.59,0.70,0.37,0.80,0.76,0.35,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P06243,0.60,0.81,0.39,0.58,0.59,0.51,0.60,0.32,0.19,0.48,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06244,0.69,0.85,0.11,0.86,0.51,0.23,0.62,0.15,0.51,0.41,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P06245,0.44,0.36,0.55,0.63,0.49,0.08,0.58,0.58,0.64,0.45,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06246,0.61,0.64,0.46,0.37,0.75,0.64,0.63,0.50,0.67,0.43,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P06247,0.28,0.53,0.58,0.51,0.43,0.29,0.56,0.48,0.71,0.38,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P06248,0.34,0.44,0.53,0.60,0.25,0.36,0.55,0.32,0.41,0.48,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06249,0.70,0.27,0.60,0.66,0.78,0.20,0.39,0.29,0.61,0.43,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，喜欢晚间外出。
P06250,0.75,0.81,0.23,0.55,0.51,0.59,0.50,0.16,0.57,0.43,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P06251,0.40,0.60,0.49,0.57,0.46,0.67,0.31,0.37,0.54,0.92,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P06252,0.20,0.49,0.46,0.56,0.41,0.69,0.57,0.39,0.52,0.95,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P06253,0.41,0.53,0.49,0.71,0.61,0.32,0.67,0.20,0.75,0.77,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，处理分歧时较有耐心。
P06254,0.42,0.63,0.60,0.48,0.55,0.34,0.38,0.29,0.80,0.42,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P06255,0.27,0.19,0.53,0.41,0.46,0.56,0.51,0.90,0.68,0.70,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，处理分歧时较有耐心。
P06256,0.14,0.12,0.60,0.40,0.51,0.56,0.49,0.13,0.78,0.67,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P06257,0.34,0.39,0.66,0.52,0.60,0.41,0.77,0.51,0.79,0.65,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P06258,0.50,0.68,0.35,0.64,0.60,0.55,0.68,0.26,0.58,0.24,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06259,0.79,0.65,0.49,0.67,0.45,0.45,0.79,0.59,0.56,0.29,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P06260,0.61,0.57,0.61,0.39,0.48,0.54,0.65,0.24,0.69,0.96,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，处理分歧时较有耐心。
P06261,0.21,0.58,0.29,0.34,0.54,0.53,0.44,0.27,0.30,0.22,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06262,0.78,0.86,0.22,0.62,0.51,0.61,0.55,0.25,0.40,0.39,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P06263,0.67,0.72,0.54,0.78,0.41,0.41,0.45,0.70,0.76,0.61,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式坦率热情，生活取向相对均衡。
P06264,0.34,0.80,0.36,0.37,0.64,0.33,0.55,0.26,0.60,0.45,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06265,0.72,0.48,0.44,0.45,0.50,0.40,0.82,0.29,0.42,0.07,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P06266,0.16,0.32,0.42,0.54,0.41,0.54,0.69,0.64,0.26,0.30,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06267,0.74,0.44,0.59,0.68,0.68,0.62,0.81,0.45,0.74,0.69,直接简洁,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系，喜欢晚间外出。
P06268,0.32,0.68,0.31,0.27,0.17,0.32,0.51,0.49,0.36,0.84,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，处理分歧时较有耐心。
P06269,0.46,0.57,0.37,0.74,0.66,0.70,0.51,0.55,0.74,0.75,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式直接简洁，处理分歧时较有耐心。
P06270,0.70,0.42,0.55,0.65,0.54,0.05,0.56,0.41,0.52,0.28,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P06271,0.43,0.52,0.59,0.41,0.62,0.49,0.39,0.75,0.65,0.32,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P06272,0.36,0.02,0.79,0.62,0.49,0.63,0.98,0.73,0.88,0.72,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系，处理分歧时较有耐心。
P06273,0.66,0.90,0.20,0.46,0.48,0.67,0.81,0.83,0.65,0.63,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系。
P06274,0.44,0.65,0.53,0.53,0.32,0.72,0.98,0.79,0.56,0.63,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系。
P06275,0.74,0.65,0.47,0.61,0.65,0.40,0.33,0.72,0.72,0.74,坦率热情,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，处理分歧时较有耐心。
P06276,0.43,0.44,0.57,0.45,0.34,0.53,0.66,0.79,0.44,0.46,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P06277,0.84,0.11,0.74,0.86,0.60,0.26,0.39,0.08,0.22,0.80,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式沉稳耐心，处理分歧时较有耐心。
P06278,0.07,0.57,0.64,0.29,0.51,0.55,0.64,0.56,0.87,0.55,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式直接简洁，生活取向相对均衡。
P06279,0.49,0.58,0.43,0.69,0.39,0.58,0.55,0.45,0.54,0.68,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，生活取向相对均衡。
P06280,0.51,0.30,0.73,0.48,0.52,0.78,0.82,0.66,0.46,0.30,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06281,0.49,0.68,0.38,0.66,0.35,0.34,0.98,0.73,0.34,0.80,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，处理分歧时较有耐心。
P06282,0.28,0.87,0.27,0.17,0.44,0.62,0.54,0.29,0.12,0.47,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P06283,0.75,0.54,0.44,0.82,0.66,0.57,0.47,0.88,0.14,0.33,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式温和体贴，生活取向相对均衡。
P06284,0.33,0.70,0.42,0.29,0.52,0.58,0.36,0.38,0.44,0.63,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P06285,0.71,0.30,0.63,0.72,0.84,0.72,0.35,0.69,0.73,0.40,坦率热情,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式坦率热情，喜欢晚间外出。
P06286,0.85,0.42,0.43,0.72,0.60,0.69,0.45,0.80,0.66,0.71,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式温和体贴，处理分歧时较有耐心。
P06287,0.47,0.74,0.47,0.62,0.49,0.37,0.51,0.18,0.55,0.35,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06288,0.40,0.15,0.92,0.58,0.45,0.59,0.55,0.56,0.25,0.41,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06289,0.51,0.35,0.74,0.67,0.47,0.81,0.64,0.24,0.45,0.56,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06290,0.25,0.69,0.42,0.44,0.56,0.61,0.33,0.59,0.61,0.82,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P06291,0.45,0.46,0.63,0.59,0.41,0.86,0.56,0.33,0.65,0.37,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06292,0.36,0.42,0.40,0.49,0.45,0.36,0.21,0.47,0.26,0.53,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06293,0.89,0.58,0.54,0.43,0.66,0.61,0.98,0.22,0.08,0.53,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P06294,0.25,0.74,0.41,0.55,0.19,0.61,0.30,0.40,0.46,0.49,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06295,0.36,0.36,0.49,0.31,0.42,0.78,0.83,0.69,0.35,0.20,温和体贴,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式温和体贴，重视家庭联系。
P06296,0.51,0.50,0.42,0.66,0.53,0.69,0.40,0.53,0.23,0.17,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06297,0.81,0.20,0.66,0.67,0.54,0.32,0.82,0.15,0.20,0.79,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P06298,0.37,0.23,0.59,0.53,0.65,0.53,0.51,0.48,0.75,0.13,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P06299,0.23,0.40,0.64,0.29,0.54,0.06,0.58,0.26,0.50,0.72,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，处理分歧时较有耐心。
P06300,0.27,0.44,0.53,0.39,0.31,0.67,0.57,0.41,0.21,0.28,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06301,0.23,0.79,0.21,0.61,0.42,0.60,0.37,0.29,0.59,0.21,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06302,0.84,0.84,0.28,0.88,0.61,0.09,0.74,0.37,0.18,0.49,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系。
P06303,0.27,0.26,0.74,0.47,0.55,0.63,0.31,0.28,0.45,0.43,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06304,0.35,0.45,0.53,0.75,0.48,0.52,0.16,0.43,0.35,0.63,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P06305,0.23,0.24,0.53,0.62,0.50,0.45,0.66,0.59,0.19,0.39,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06306,0.31,0.61,0.36,0.74,0.46,0.39,0.86,0.43,0.39,0.42,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，重视家庭联系。
P06307,0.41,0.21,0.75,0.20,0.27,0.64,0.95,0.20,0.58,0.13,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；更偏好住处或工作地点附近的活动。交流方式克制务实，重视家庭联系。
P06308,0.65,0.67,0.30,0.57,0.62,0.37,0.21,0.28,0.57,0.42,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06309,0.38,0.43,0.51,0.50,0.47,0.31,0.86,0.46,0.44,0.64,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06310,0.53,0.63,0.64,0.53,0.30,0.71,0.73,0.54,0.38,0.29,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06311,0.33,0.08,0.95,0.61,0.37,0.54,0.90,0.37,0.36,0.67,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P06312,0.57,0.45,0.62,0.57,0.48,0.74,0.47,0.69,0.45,0.50,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P06313,0.56,0.37,0.74,0.31,0.54,0.05,0.50,0.42,0.66,0.86,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；更偏好住处或工作地点附近的活动。交流方式沉稳耐心，处理分歧时较有耐心。
P06314,0.53,0.10,0.83,0.49,0.64,0.54,0.16,0.44,0.48,0.39,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06315,0.83,0.87,0.30,0.70,0.41,0.43,0.45,0.66,0.49,0.71,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式沉稳耐心，处理分歧时较有耐心。
P06316,0.48,0.35,0.57,0.29,0.74,0.70,0.31,0.41,0.16,0.49,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，喜欢晚间外出。
P06317,0.05,0.67,0.31,0.54,0.17,0.40,0.67,0.37,0.35,0.35,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P06318,0.45,0.55,0.49,0.56,0.55,0.53,0.59,0.37,0.68,0.57,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
